date,close
2014-05-30,24.780000686645508
2014-06-02,24.823699951171875
2014-06-03,24.97480010986328
2014-06-04,24.877300262451172
2014-06-05,24.96269989013672
2014-06-06,25.18630027770996
2014-06-09,25.420000076293945
2014-06-10,25.579999923706055
2014-06-11,25.510000228881836
2014-06-12,25.559999465942383
2014-06-13,25.450000762939453
2014-06-16,25.329999923706055
2014-06-17,25.299999237060547
2014-06-18,25.270000457763672
2014-06-19,25.540000915527344
2014-06-20,25.3700008392334
2014-06-23,25.34000015258789
2014-06-24,25.59000015258789
2014-06-25,25.360000610351562
2014-06-26,25.440000534057617
2014-06-27,25.450000762939453
2014-06-30,25.489999771118164
2014-07-01,25.670000076293945
2014-07-02,25.709999084472656
2014-07-03,25.84000015258789
2014-07-04,25.850000381469727
2014-07-07,25.8799991607666
2014-07-08,25.8700008392334
2014-07-09,25.920000076293945
2014-07-10,25.75
2014-07-11,25.790000915527344
2014-07-14,25.975000381469727
2014-07-15,25.93000030517578
2014-07-16,25.989999771118164
2014-07-17,25.780000686645508
2014-07-18,25.969999313354492
2014-07-21,25.93000030517578
2014-07-22,26.290000915527344
2014-07-23,26.329999923706055
2014-07-24,26.395000457763672
2014-07-25,26.280000686645508
2014-07-28,26.40999984741211
2014-07-29,26.389999389648438
2014-07-30,26.239999771118164
2014-07-31,25.770000457763672
2014-08-01,25.825000762939453
2014-08-04,26.0049991607666
2014-08-05,25.850000381469727
2014-08-06,25.674999237060547
2014-08-07,25.579999923706055
2014-08-08,25.6299991607666
2014-08-11,25.989999771118164
2014-08-12,25.93000030517578
2014-08-13,26.18000030517578
2014-08-14,26.229999542236328
2014-08-15,26.1200008392334
2014-08-18,26.329999923706055
2014-08-19,26.469999313354492
2014-08-20,26.5
2014-08-21,26.399999618530273
2014-08-22,26.389999389648438
2014-08-26,26.610000610351562
2014-08-27,26.700000762939453
2014-08-28,26.459999084472656
2014-08-29,26.540000915527344
2014-09-01,26.65999984741211
2014-09-02,26.44499969482422
2014-09-03,26.850000381469727
2014-09-04,26.90999984741211
2014-09-05,26.799999237060547
2014-09-08,26.799999237060547
2014-09-09,26.469999313354492
2014-09-10,26.18000030517578
2014-09-11,26.170000076293945
2014-09-12,25.950000762939453
2014-09-15,25.760000228881836
2014-09-16,25.920000076293945
2014-09-17,25.985000610351562
2014-09-18,25.829999923706055
2014-09-19,25.950000762939453
2014-09-22,25.385000228881836
2014-09-23,25.2549991607666
2014-09-24,25.440000534057617
2014-09-25,25.020000457763672
2014-09-26,25.049999237060547
2014-09-29,24.649999618530273
2014-09-30,24.670000076293945
2014-10-01,24.420000076293945
2014-10-02,24.09000015258789
2014-10-03,24.360000610351562
2014-10-06,24.809999465942383
2014-10-07,24.790000915527344
2014-10-08,24.44499969482422
2014-10-09,24.670000076293945
2014-10-10,24.059999465942383
2014-10-13,24.232500076293945
2014-10-14,24.229999542236328
2014-10-15,23.770000457763672
2014-10-16,23.790000915527344
2014-10-17,24.1200008392334
2014-10-20,24.0
2014-10-21,24.15999984741211
2014-10-22,24.040000915527344
2014-10-23,24.100000381469727
2014-10-24,24.15999984741211
2014-10-27,23.8700008392334
2014-10-28,24.360000610351562
2014-10-29,24.610000610351562
2014-10-30,24.600000381469727
2014-10-31,24.690000534057617
2014-11-03,24.530000686645508
2014-11-04,24.479999542236328
2014-11-05,24.350000381469727
2014-11-06,24.229999542236328
2014-11-07,24.209999084472656
2014-11-10,24.405000686645508
2014-11-11,24.219999313354492
2014-11-12,24.309999465942383
2014-11-13,24.219999313354492
2014-11-14,24.209999084472656
2014-11-17,24.09000015258789
2014-11-18,24.170000076293945
2014-11-19,24.15999984741211
2014-11-20,24.280000686645508
2014-11-21,24.709999084472656
2014-11-24,24.68000030517578
2014-11-25,24.59000015258789
2014-11-26,24.81999969482422
2014-11-27,24.739999771118164
2014-11-28,24.469999313354492
2014-12-01,24.020000457763672
2014-12-02,24.079999923706055
2014-12-03,24.170000076293945
2014-12-04,24.170000076293945
2014-12-05,24.079999923706055
2014-12-08,23.90999984741211
2014-12-09,23.549999237060547
2014-12-10,23.389999389648438
2014-12-11,23.229999542236328
2014-12-12,22.829999923706055
2014-12-15,22.450000762939453
2014-12-16,22.600000381469727
2014-12-17,22.719999313354492
2014-12-18,23.040000915527344
2014-12-19,23.219999313354492
2014-12-22,23.479999542236328
2014-12-23,23.219999313354492
2014-12-24,23.309999465942383
2014-12-29,23.59000015258789
2014-12-30,23.447500228881836
2014-12-31,23.540000915527344
2015-01-02,23.209999084472656
2015-01-05,22.917499542236328
2015-01-06,22.850000381469727
2015-01-07,23.1200008392334
2015-01-08,23.670000076293945
2015-01-09,23.450000762939453
2015-01-12,23.3700008392334
2015-01-13,23.690000534057617
2015-01-14,23.389999389648438
2015-01-15,23.510000228881836
2015-01-16,23.469999313354492
2015-01-19,23.399999618530273
2015-01-20,23.479999542236328
2015-01-21,23.899999618530273
2015-01-22,24.219999313354492
2015-01-23,24.329999923706055
2015-01-26,24.229999542236328
2015-01-27,24.059999465942383
2015-01-28,24.0
2015-01-29,23.709999084472656
2015-01-30,23.399999618530273
2015-02-02,23.700000762939453
2015-02-03,24.049999237060547
2015-02-04,24.260000228881836
2015-02-05,24.149999618530273
2015-02-06,23.90999984741211
2015-02-09,23.842500686645508
2015-02-10,23.729999542236328
2015-02-11,23.5
2015-02-12,23.90999984741211
2015-02-13,24.239999771118164
2015-02-16,24.200000762939453
2015-02-17,24.139999389648438
2015-02-18,24.1299991607666
2015-02-19,24.149999618530273
2015-02-20,24.149999618530273
2015-02-23,24.190000534057617
2015-02-24,24.34000015258789
2015-02-25,24.329999923706055
2015-02-26,24.34000015258789
2015-02-27,24.399999618530273
2015-03-02,24.190000534057617
2015-03-03,24.06999969482422
2015-03-04,23.829999923706055
2015-03-05,23.8799991607666
2015-03-06,23.559999465942383
2015-03-09,23.459999084472656
2015-03-10,22.97249984741211
2015-03-11,23.09000015258789
2015-03-12,23.309999465942383
2015-03-13,23.010000228881836
2015-03-16,23.25
2015-03-17,23.280000686645508
2015-03-18,23.43000030517578
2015-03-19,23.520000457763672
2015-03-20,23.889999389648438
2015-03-23,23.940000534057617
2015-03-24,23.989999771118164
2015-03-25,23.860000610351562
2015-03-26,23.6200008392334
2015-03-27,23.579999923706055
2015-03-30,23.940000534057617
2015-03-31,23.969999313354492
2015-04-01,24.280000686645508
2015-04-02,24.530000686645508
2015-04-07,24.959999084472656
2015-04-08,25.290000915527344
2015-04-09,25.389999389648438
2015-04-10,25.5
2015-04-13,25.559999465942383
2015-04-14,25.489999771118164
2015-04-15,25.469999313354492
2015-04-16,25.780000686645508
2015-04-17,25.360000610351562
2015-04-20,25.459999084472656
2015-04-21,25.670000076293945
2015-04-22,25.780000686645508
2015-04-23,25.90999984741211
2015-04-24,26.100000381469727
2015-04-27,26.299999237060547
2015-04-28,26.270000457763672
2015-04-29,26.100000381469727
2015-04-30,25.799999237060547
2015-05-01,25.770000457763672
2015-05-05,25.809999465942383
2015-05-06,25.530000686645508
2015-05-07,25.329999923706055
2015-05-08,25.65999984741211
2015-05-11,25.510000228881836
2015-05-12,25.385000228881836
2015-05-13,25.540000915527344
2015-05-14,25.649999618530273
2015-05-15,25.809999465942383
2015-05-18,25.690000534057617
2015-05-19,25.719999313354492
2015-05-20,25.6299991607666
2015-05-21,25.59000015258789
2015-05-22,25.700000762939453
2015-05-26,25.389999389648438
2015-05-27,25.229999542236328
2015-05-28,24.940000534057617
2015-05-29,24.860000610351562
2015-06-01,24.709999084472656
2015-06-02,24.760000228881836
2015-06-03,24.75
2015-06-04,24.420000076293945
2015-06-05,24.229999542236328
